Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;98320614-3969-4c61-8334-cadbb5e96800;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-20 12:09:02.0073;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;98320614-3969-4c61-8334-cadbb5e96800;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-20 12:09:02.0084;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;810;98320614-3969-4c61-8334-cadbb5e96800;NULL;-0.0057;-0.0649;-0.0158;352.4855;0.4943;0.4329;NULL;NULL;NULL;NULL;-0.1292;0.0000;2.0000;NULL;NULL;0.0000;-1.3151;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0036;-0.1052;0.5941;353.6732;354.6027;357.0173;0.0003;-0.1143;0.5910;353.4541;354.3416;359.3596;1;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;-12.9206;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;6.9654;2026-03-20 12:09:10.7684;Controllers;1;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;861;98320614-3969-4c61-8334-cadbb5e96800;NULL;-0.0027;-0.0643;-0.0159;353.2376;1.2203;0.3514;NULL;NULL;NULL;NULL;-0.0912;0.0000;2.0000;NULL;NULL;0.0000;-1.3151;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0039;-0.1122;0.5960;352.7220;356.1223;1.4010;0.0084;-0.1162;0.5883;352.4911;356.2289;0.9688;1;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;-9.1235;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.4250;2026-03-20 12:09:11.1923;Controllers;2;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1208;98320614-3969-4c61-8334-cadbb5e96800;NULL;0.0029;-0.0724;-0.0066;357.7121;3.3157;359.2007;NULL;NULL;NULL;NULL;-0.0687;0.0000;2.0000;NULL;NULL;0.0000;-1.3151;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0059;-0.1197;0.5953;351.8812;356.9568;1.0267;0.0102;-0.1210;0.5864;351.4183;357.2051;1.1079;1;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;-6.8735;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8907;2026-03-20 12:09:14.0832;Controllers;3;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1239;98320614-3969-4c61-8334-cadbb5e96800;NULL;0.0021;-0.0661;-0.0146;353.0795;1.4710;359.0929;NULL;NULL;NULL;NULL;-0.0638;0.0000;2.0000;NULL;NULL;0.0000;-1.3151;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0065;-0.1203;0.5952;352.3032;357.1364;1.2340;0.0077;-0.1225;0.5862;352.5982;357.2868;0.5087;1;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;-6.3769;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2584;2026-03-20 12:09:14.3413;Controllers;4;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1267;98320614-3969-4c61-8334-cadbb5e96800;NULL;0.0008;-0.0662;-0.0167;352.8417;1.0144;359.1716;NULL;NULL;NULL;NULL;-0.0291;0.0000;2.0000;NULL;NULL;0.0000;-1.3151;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0080;-0.1190;0.5948;353.3053;358.4868;1.0226;0.0142;-0.1132;0.5846;352.8515;359.7120;0.6029;1;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;-2.9135;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2334;2026-03-20 12:09:14.5752;Controllers;5;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1296;98320614-3969-4c61-8334-cadbb5e96800;NULL;0.0007;-0.0663;-0.0181;352.7525;0.8762;359.4778;NULL;NULL;NULL;NULL;-0.0164;0.0000;2.0000;NULL;NULL;0.0000;-1.3151;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0112;-0.1158;0.5940;353.6238;358.8754;0.8382;0.0160;-0.1119;0.5847;353.1120;359.5820;0.3786;1;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;-1.6415;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2413;2026-03-20 12:09:14.8162;Controllers;6;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1323;98320614-3969-4c61-8334-cadbb5e96800;NULL;0.0012;-0.0667;-0.0175;353.0405;0.8923;359.3840;NULL;NULL;NULL;NULL;-0.0162;0.0000;2.0000;NULL;NULL;0.0000;-1.3151;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0123;-0.1148;0.5936;353.5349;358.8405;0.8559;0.0152;-0.1136;0.5846;353.0874;358.8807;0.8444;1;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;-1.6213;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2251;2026-03-20 12:09:15.0416;Controllers;7;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1354;98320614-3969-4c61-8334-cadbb5e96800;NULL;0.0005;-0.0669;-0.0162;353.2265;0.6113;359.3869;NULL;NULL;NULL;NULL;-0.0198;0.0000;2.0000;NULL;NULL;0.0000;-1.3151;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0126;-0.1145;0.5934;353.4529;358.6827;0.9843;0.0118;-0.1143;0.5846;352.7103;358.2158;0.9192;1;NULL;NULL;ff7ee7ee-745f-45d0-99e5-cd0680840be3;-1.9785;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2582;2026-03-20 12:09:15.2996;Controllers;8;30;OpenXR
