Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-20 12:46:43.7180;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-20 12:46:43.7206;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;719;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;-0.0031;-0.0899;-0.0060;358.2925;359.1834;359.9730;NULL;NULL;NULL;NULL;-0.0856;0.0000;2.0000;NULL;NULL;0.0000;-1.3368;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0117;-0.1202;0.5822;353.1376;356.0742;357.3160;0.0069;-0.1192;0.5806;352.8822;355.4512;358.6568;1;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;-8.5629;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;8.6026;2026-03-20 12:46:56.2892;Controllers;1;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;732;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;-0.0056;-0.0893;-0.0059;357.9952;358.8331;0.5702;NULL;NULL;NULL;NULL;-0.1002;0.0000;2.0000;NULL;NULL;0.0000;-1.3368;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0095;-0.1199;0.5850;353.3401;355.5645;358.7675;0.0043;-0.1204;0.5814;353.2607;354.9924;0.2861;1;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;-10.0214;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2087;2026-03-20 12:46:56.4924;Controllers;2;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;744;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;-0.0057;-0.0889;-0.0054;357.8247;359.0822;0.5796;NULL;NULL;NULL;NULL;-0.1198;0.0000;2.0000;NULL;NULL;0.0000;-1.3368;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0060;-0.1200;0.5866;353.4478;354.9131;359.9437;-0.0010;-0.1214;0.5809;353.2450;354.1398;0.9798;1;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;-11.9832;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.1913;2026-03-20 12:46:56.6824;Controllers;3;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;756;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;-0.0062;-0.0890;-0.0050;357.8422;359.0030;0.4551;NULL;NULL;NULL;NULL;-0.1258;0.0000;2.0000;NULL;NULL;0.0000;-1.3368;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0033;-0.1205;0.5876;353.4603;354.7795;0.7382;-0.0015;-0.1214;0.5806;353.0685;354.5021;0.8469;1;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;-12.5791;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2002;2026-03-20 12:46:56.8827;Controllers;4;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;766;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;-0.0058;-0.0890;-0.0046;357.7669;359.1945;0.5293;NULL;NULL;NULL;NULL;-0.1249;0.0000;2.0000;NULL;NULL;0.0000;-1.3368;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0013;-0.1204;0.5876;353.2986;354.8912;1.1173;-0.0032;-0.1205;0.5800;353.0316;355.1656;1.5904;1;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;-12.4930;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.1766;2026-03-20 12:46:57.0607;Controllers;5;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;776;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;-0.0059;-0.0889;-0.0045;357.7370;359.0016;0.4537;NULL;NULL;NULL;NULL;-0.1249;0.0000;2.0000;NULL;NULL;0.0000;-1.3368;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0002;-0.1200;0.5875;353.2010;354.9569;1.3862;-0.0039;-0.1202;0.5794;353.0476;354.7950;1.9043;1;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;-12.4852;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.1816;2026-03-20 12:46:57.2414;Controllers;6;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;788;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;-0.0060;-0.0884;-0.0049;357.4603;359.0169;0.4047;NULL;NULL;NULL;NULL;-0.1256;0.0000;2.0000;NULL;NULL;0.0000;-1.3368;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0011;-0.1199;0.5871;353.1469;354.9626;1.5673;-0.0029;-0.1203;0.5775;352.9153;355.0574;1.7531;1;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;-12.5608;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2001;2026-03-20 12:46:57.4419;Controllers;7;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;801;35f3fc2a-61e0-40a5-8fcc-73b961818a13;NULL;-0.0061;-0.0882;-0.0051;357.4267;359.0961;0.4831;NULL;NULL;NULL;NULL;-0.1322;0.0000;2.0000;NULL;NULL;0.0000;-1.3368;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0023;-0.1198;0.5864;353.1597;354.7517;1.9846;-0.0058;-0.1200;0.5764;352.9084;354.2865;2.3010;1;NULL;NULL;b544825c-84e7-4823-ac5b-c741175c33af;-13.2176;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.1834;2026-03-20 12:46:57.6244;Controllers;8;30;OpenXR
