ActiveHand;ConfirmDown;EffectMode;Email;Event;Framecount;HandDwellProgress01;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HmdPosX;HmdPosY;HmdPosZ;HmdRotW;HmdRotX;HmdRotY;HmdRotZ;IsHandPointing;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;PointerForwardX;PointerForwardY;PointerForwardZ;PointerOriginX;PointerOriginY;PointerOriginZ;PointerRotationW;PointerRotationX;PointerRotationY;PointerRotationZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;SessionID;TaskMode;Timestamp;TrackingMode;XRBackend
Right;0;None;anonymous;Sample;-1;0.0000;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;0.0000;0.3614;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:26.1679;Controllers;OpenXR
Right;0;None;anonymous;Sample;3;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.5702;Controllers;OpenXR
Right;0;None;anonymous;Sample;4;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.5952;Controllers;OpenXR
Right;0;None;anonymous;Sample;5;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.6144;Controllers;OpenXR
Right;0;None;anonymous;Sample;7;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.6395;Controllers;OpenXR
Right;0;None;anonymous;Sample;9;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.6643;Controllers;OpenXR
Right;0;None;anonymous;Sample;11;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.6875;Controllers;OpenXR
Right;0;None;anonymous;Sample;14;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.7161;Controllers;OpenXR
Right;0;None;anonymous;Sample;16;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.7384;Controllers;OpenXR
Right;0;None;anonymous;Sample;18;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;9b6a6606-690b-4cfb-a9b2-3e23eea333a5;OpenLoop;2026-03-20 12:50:30.7630;Controllers;OpenXR
